"first_name","last_name","hire_date"
"Parke","Aamodt","1986-11-04"
"Kazuhito","Aamodt","1986-12-02"
"Qingxiang","Aamodt","1986-03-05"
"Valeri","Aamodt","1986-07-28"
"Elzbieta","Aamodt","1986-04-29"
"Fatemeh","Aamodt","1986-05-07"
"Mahmut","Aamodt","1986-04-10"
"Marek","Aamodt","1986-01-31"
"Menkae","Aamodt","1986-02-07"
"Theron","Aamodt","1986-03-16"
"Jaideep","Aamodt","1986-07-16"
"Huican","Aamodt","1986-12-12"
"Rajmohan","Aamodt","1986-05-22"
"Somnath","Aamodt","1986-01-15"
"Moto","Aamodt","1986-05-29"
"Salvador","Aamodt","1986-03-16"
"Shmuel","Aamodt","1986-05-27"
"Arvind","Aamodt","1986-11-20"
"Danco","Aamodt","1986-10-10"
"Luise","Aamodt","1986-07-27"
"Maik","Aamodt","1986-06-20"
"Arumugam","Aamodt","1986-01-09"
"Foong","Aamodt","1986-06-28"
"Basant","Aamodt","1986-12-25"
"Dietrich","Aamodt","1986-12-07"
"Kensei","Acton","1986-05-20"
"Kwee","Acton","1986-07-03"
"Hairong","Acton","1986-05-15"
"Huiqun","Acton","1986-07-25"
"Margo","Acton","1986-07-25"
"Oldrich","Acton","1986-01-14"
"Honesty","Acton","1986-12-22"
"Volkmar","Acton","1986-10-17"
"Pragnesh","Acton","1986-11-04"
"Katsuyuki","Acton","1986-12-25"
"Hidde","Acton","1986-08-10"
"Tremaine","Acton","1986-06-06"
"Xiahua","Acton","1986-07-07"
"Janalee","Acton","1986-12-28"
"Piyawadee","Acton","1986-01-13"
"Mayuko","Acton","1986-12-01"
"Ulises","Acton","1986-01-14"
"Shaz","Acton","1986-10-27"
"Jixiang","Acton","1986-04-24"
"Behnaam","Acton","1986-01-16"
"Shaz","Acton","1986-08-10"
"Bezalel","Acton","1986-05-21"
"Van","Acton","1986-08-06"
"Rance","Acton","1986-12-21"
"Marlo","Adachi","1986-05-24"
"Kerhong","Adachi","1986-02-20"
"Breannda","Adachi","1986-04-29"
